"Accession","Symbol","Gene Name","Rank","Fold Change"
"NM_004457.3","ACSL3","Homo sapiens acyl-CoA synthetase long-chain family member 3 (ACSL3), transcript variant 1, mRNA.",209,1.59493142450173
"NM_022782.2","MPHOSPH9","Homo sapiens M-phase phosphoprotein 9 (MPHOSPH9), mRNA.",210,1.72902512383349
"NM_000274.1","OAT","Homo sapiens ornithine aminotransferase (gyrate atrophy) (OAT), nuclear gene encoding mitochondrial protein, mRNA.",211,2.81406302567015
"XM_294581.3","LOC347292","PREDICTED: Homo sapiens similar to ribosomal protein L36 (LOC347292), mRNA.",212,1.81612341382022
"NM_012473.3","TXN2","Homo sapiens thioredoxin 2 (TXN2), nuclear gene encoding mitochondrial protein, mRNA.",213,2.15070374953543
"NM_021140.1","UTX","Homo sapiens ubiquitously transcribed tetratricopeptide repeat, X chromosome (UTX), mRNA.",214,2.90707008005006
"XM_939742.2","LOC649169","PREDICTED: Homo sapiens similar to WD repeat domain 74, transcript variant 1 (LOC649169), mRNA.",215,1.64909615378509
"NM_032810.2","ATAD1","Homo sapiens ATPase family, AAA domain containing 1 (ATAD1), mRNA.",216,1.92617375628105
"NM_197954.2","CLEC7A","Homo sapiens C-type lectin domain family 7, member A (CLEC7A), transcript variant 6, mRNA.",217,9.69292729968085
"NM_031925.1","TMEM120A","Homo sapiens transmembrane protein 120A (TMEM120A), mRNA.",218,1.81335341500054
"NM_002319.2","LRCH4","Homo sapiens leucine-rich repeats and calponin homology (CH) domain containing 4 (LRCH4), mRNA.",219,2.41355361557245
"NM_032042.3","C5orf21","Homo sapiens chromosome 5 open reading frame 21 (C5orf21), mRNA.",220,2.44170051218969
"NM_005466.2","MED6","Homo sapiens mediator complex subunit 6 (MED6), mRNA.",221,2.24661944064805
"NM_013291.2","CPSF1","Homo sapiens cleavage and polyadenylation specific factor 1, 160kDa (CPSF1), mRNA.",222,2.19075750866962
"NM_005830.2","MRPS31","Homo sapiens mitochondrial ribosomal protein S31 (MRPS31), nuclear gene encoding mitochondrial protein, mRNA.",223,2.4891190006451
"NM_006068.2","TLR6","Homo sapiens toll-like receptor 6 (TLR6), mRNA.",224,3.71607692380077
"NM_005527.3","HSPA1L","Homo sapiens heat shock 70kDa protein 1-like (HSPA1L), mRNA.",225,2.2550442774075
"NM_015122.1","FCHO1","Homo sapiens FCH domain only 1 (FCHO1), mRNA.",226,2.24467938935767
"NM_001270.2","CHD1","Homo sapiens chromodomain helicase DNA binding protein 1 (CHD1), mRNA.",227,2.93886152301665
"NM_007368.2","RASA3","Homo sapiens RAS p21 protein activator 3 (RASA3), mRNA.",228,2.40827781112467
"NR_003264.1","SDHALP1","Homo sapiens succinate dehydrogenase complex, subunit A, flavoprotein pseudogene 1 (SDHALP1) on chromosome 3.",229,1.6310094394662
"NM_053000.1","TIGA1","Homo sapiens TIGA1 (TIGA1), mRNA.",230,1.97392907548316
"NM_016089.2","ZNF589","Homo sapiens zinc finger protein 589 (ZNF589), mRNA.",231,3.20999830320482
"NM_032326.2","TMEM175","Homo sapiens transmembrane protein 175 (TMEM175), mRNA.",232,2.92456746521371
"NM_019057.3","FAM193B","Homo sapiens family with sequence similarity 193, member B (FAM193B), transcript variant 1, mRNA. XM_944464 XM_944467 XM_944470",233,1.90546764336465
"NM_017912.3","HERC6","Homo sapiens hect domain and RLD 6 (HERC6), transcript variant 1, mRNA.",234,4.87860139829625
"NM_024717.3","MCTP1","Homo sapiens multiple C2 domains, transmembrane 1 (MCTP1), transcript variant L, mRNA.",235,2.96470493583758
"NM_006991.3","ZNF197","Homo sapiens zinc finger protein 197 (ZNF197), transcript variant 1, mRNA.",236,1.71637196254937
"NM_033070.2","CECR5","Homo sapiens cat eye syndrome chromosome region, candidate 5 (CECR5), transcript variant 2, mRNA.",237,2.14970810435865
"NM_002013.2","FKBP3","Homo sapiens FK506 binding protein 3, 25kDa (FKBP3), mRNA.",238,1.71146218374646
"NM_018037.1","RALGPS2","Homo sapiens Ral GEF with PH domain and SH3 binding motif 2 (RALGPS2), transcript variant 1, mRNA.",239,3.96821787339318
"NM_032413.2","C15orf48","Homo sapiens chromosome 15 open reading frame 48 (C15orf48), transcript variant 2, mRNA.",240,3.43559179943232
"NM_013272.2","SLCO3A1","Homo sapiens solute carrier organic anion transporter family, member 3A1 (SLCO3A1), mRNA.",241,2.46771675211691
"NM_003688.1","CASK","Homo sapiens calcium/calmodulin-dependent serine protein kinase (MAGUK family) (CASK), mRNA.",242,1.6246664188276
"NM_001013253.1","LSP1","Homo sapiens lymphocyte-specific protein 1 (LSP1), transcript variant 2, mRNA.",243,2.28544197862455
"NM_016089.2","ZNF589","Homo sapiens zinc finger protein 589 (ZNF589), mRNA.",244,1.68102232432197
"NM_001098.2","ACO2","Homo sapiens aconitase 2, mitochondrial (ACO2), nuclear gene encoding mitochondrial protein, mRNA.",245,1.69473538550977
"NM_006267.4","RANBP2","Homo sapiens RAN binding protein 2 (RANBP2), mRNA.",246,2.82059047469977
"NM_052925.1","LENG8","Homo sapiens leukocyte receptor cluster (LRC) member 8 (LENG8), mRNA.",247,1.97747461786395
"NM_005697.3","SCAMP2","Homo sapiens secretory carrier membrane protein 2 (SCAMP2), mRNA.",248,1.81119712902059
"XM_929738.1","LOC646786","PREDICTED: Homo sapiens similar to Afadin (AF-6 protein) (LOC646786), mRNA.",249,2.99060569855657
"NM_012207.1","HNRPH3","Homo sapiens heterogeneous nuclear ribonucleoprotein H3 (2H9) (HNRPH3), transcript variant 2H9, mRNA.",250,2.03889979552004
"NM_006815.3","TMED2","Homo sapiens transmembrane emp24 domain trafficking protein 2 (TMED2), mRNA.",251,2.34485155350042
